Model,Threshold,Accuracy,Balanced_Acc,Precision,Recall,F1
LogisticRegression,0.91,0.5921052631578947,0.6273946360153256,0.8552631578947368,0.5603448275862069,0.6770833333333334
LogisticRegression,0.92,0.5789473684210527,0.6283524904214559,0.8611111111111112,0.5344827586206896,0.6595744680851063
LogisticRegression,0.93,0.5460526315789473,0.6068007662835249,0.8507462686567164,0.49137931034482757,0.6229508196721312
LogisticRegression,0.9400000000000001,0.5394736842105263,0.6216475095785441,0.8709677419354839,0.46551724137931033,0.6067415730337079
LogisticRegression,0.9500000000000001,0.5328947368421053,0.6364942528735632,0.8947368421052632,0.4396551724137931,0.5895953757225434
LogisticRegression,0.9600000000000001,0.5197368421052632,0.6374521072796935,0.9056603773584906,0.41379310344827586,0.5680473372781065
LogisticRegression,0.97,0.4934210526315789,0.6202107279693487,0.8979591836734694,0.3793103448275862,0.5333333333333333
LogisticRegression,0.98,0.45394736842105265,0.5943486590038314,0.8837209302325582,0.3275862068965517,0.4779874213836478
LogisticRegression,0.99,0.42105263157894735,0.6206896551724138,1.0,0.2413793103448276,0.3888888888888889
RandomForest,0.01,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
RandomForest,0.02,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
RandomForest,0.03,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
RandomForest,0.04,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
RandomForest,0.05,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
RandomForest,0.060000000000000005,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
RandomForest,0.06999999999999999,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
RandomForest,0.08,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
RandomForest,0.09,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
RandomForest,0.09999999999999999,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
RandomForest,0.11,0.7763157894736842,0.5277777777777778,0.7733333333333333,1.0,0.8721804511278195
RandomForest,0.12,0.7763157894736842,0.5277777777777778,0.7733333333333333,1.0,0.8721804511278195
RandomForest,0.13,0.7763157894736842,0.5277777777777778,0.7733333333333333,1.0,0.8721804511278195
RandomForest,0.14,0.7828947368421053,0.5416666666666666,0.7785234899328859,1.0,0.8754716981132076
RandomForest,0.15000000000000002,0.7828947368421053,0.5416666666666666,0.7785234899328859,1.0,0.8754716981132076
RandomForest,0.16,0.7828947368421053,0.5416666666666666,0.7785234899328859,1.0,0.8754716981132076
RandomForest,0.17,0.7828947368421053,0.5416666666666666,0.7785234899328859,1.0,0.8754716981132076
RandomForest,0.18000000000000002,0.7828947368421053,0.5416666666666666,0.7785234899328859,1.0,0.8754716981132076
RandomForest,0.19,0.7894736842105263,0.5555555555555556,0.7837837837837838,1.0,0.8787878787878788
RandomForest,0.2,0.8026315789473685,0.5833333333333334,0.7945205479452054,1.0,0.8854961832061069
RandomForest,0.21000000000000002,0.8092105263157895,0.5972222222222222,0.8,1.0,0.8888888888888888
RandomForest,0.22,0.8092105263157895,0.5972222222222222,0.8,1.0,0.8888888888888888
RandomForest,0.23,0.8092105263157895,0.5972222222222222,0.8,1.0,0.8888888888888888
RandomForest,0.24000000000000002,0.8223684210526315,0.625,0.8111888111888111,1.0,0.8957528957528957
RandomForest,0.25,0.8223684210526315,0.625,0.8111888111888111,1.0,0.8957528957528957
RandomForest,0.26,0.8223684210526315,0.625,0.8111888111888111,1.0,0.8957528957528957
RandomForest,0.27,0.8223684210526315,0.625,0.8111888111888111,1.0,0.8957528957528957
RandomForest,0.28,0.8223684210526315,0.625,0.8111888111888111,1.0,0.8957528957528957
RandomForest,0.29000000000000004,0.8223684210526315,0.625,0.8111888111888111,1.0,0.8957528957528957
RandomForest,0.3,0.8289473684210527,0.6388888888888888,0.8169014084507042,1.0,0.8992248062015504
RandomForest,0.31,0.8289473684210527,0.6388888888888888,0.8169014084507042,1.0,0.8992248062015504
RandomForest,0.32,0.8157894736842105,0.6302681992337165,0.8142857142857143,0.9827586206896551,0.890625
RandomForest,0.33,0.8157894736842105,0.6302681992337165,0.8142857142857143,0.9827586206896551,0.890625
RandomForest,0.34,0.8223684210526315,0.6441570881226053,0.8201438848920863,0.9827586206896551,0.8941176470588236
RandomForest,0.35000000000000003,0.8157894736842105,0.6398467432950192,0.8188405797101449,0.9741379310344828,0.889763779527559
